lo,11705
mi,5514
do,3090
cu,2917
la,2308
pu,2171
nu,1962
se,1755
le,1596
na,1503
be,1228
ko'a,1174
ma,1154
ka,1100
ko,999
.i,933
ca,921
xu,838
ra,795
da,777
fi,642
klama,615
tom,600
ti,577
ba,496
ro,493
du'u,482
poi,467
djica,466
nelci,444
citka,418
tu'a,410
zvati,386
mutce,379
loi,375
djuno,370
ku,357
li,356
vi,350
te,323
cusku,315
ca'o,309
prenu,293
pe,268
no,265
nai,246
pa,244
ta,244
viska,239
co'a,237
zdani,236
za'u,235
cukta,232
mi'a,229
pinxe,227
jai,226
.tom.,226
zukte,222
ka'e,220
tavla,216
me,216
kei,209
mi'o,208
fa,201
ba'o,199
prami,199
re,197
kakne,195
je,195
gerku,189
i,188
ri,182
bangu,179
gi'e,177
melbi,172
karce,171
nitcu,167
bu'u,163
mlatu,162
dunda,162
xamgu,161
.tam.,161
lu,157
fo,155
li'u,154
noi,149
cliva,149
fetsi,148
e'o,147
kau,145
xabju,140
pendo,139
ralte,139
mi'ai,139
sidju,138
ku'i,138
gleki,138
fe,137
tadni,136
cmene,134
vo'a,133
pei,128
tcidu,128
na'e,128
patfu,126
verba,123
mo,122
go'i,122
nakni,122
gi,121
jinvi,120
jukpa,118
simlu,118
su'o,118
zo'u,118
.ei,117
mu'i,116
mo'u,116
ke'a,115
troci,115
gunka,114
zmadu,114
doi,113
au,113
ki'u,112
so'i,112
lonu,111
lo'e,110
roi,108
nanmu,108
du,107
jimpe,107
denpa,105
makau,104
vecnu,103
mamta,102
va,101
.e'o,101
da'i,101
ctuca,101
cnino,100
ei,100
ke,98
co'u,96
cabdei,96
ninmu,95
zo,94
ce'u,93
po'o,93
vau,93
ponse,92
sai,92
cilre,92
prulamdei,91
penmi,91
barda,90
co'e,89
cmalu,89
ciska,88
joi,88
la'e,88
djedi,88
jdini,88
morsi,87
bo,87
sipna,86
pilno,86
drata,86
ckule,86
nanla,85
ma'a,85
gau,85
tai,85
ni,84
mu,84
nixli,83
pluka,83
nanba,83
plise,81
kumfa,81
