4,jbo,.i,
20,jbo,bajra,run
34,jbo,barda,big
29,jbo,blanu,blue
28,jbo,bolci,
36,jbo,ca,present tense
39,jbo,ci,3
18,jbo,cliva,to leave
31,jbo,cmalu,small
8,jbo,cmene,to be a name
33,jbo,coi,hello
3,jbo,cusku,to say
2,jbo,do,you
13,jbo,drata,different
12,jbo,gerku,dog
14,jbo,gleki,happy
25,jbo,i,
27,jbo,kei,
7,jbo,ku,
9,jbo,la,
6,jbo,le,
23,spa,leo,I read
5,jbo,lo,
40,jbo,ma,?
0,jbo,mi,I/me
11,jbo,mlatu,cat
41,jbo,mo,?
19,jbo,nanmu,man
16,jbo,ninmu,woman
26,jbo,nu,
43,jbo,oops,
37,jbo,pa,1
1,jbo,prami,to love
42,jbo,prenu,person
35,jbo,pu,past tense
38,jbo,re,2
32,jbo,ro,every/all
15,jbo,srera,to err
17,jbo,tadni,study/student
24,spa,tener,to have
22,spa,tengo,I have
30,jbo,vau,
10,jbo,xamgu,to be good
21,spa,yo,I
